date,stock,company,price,last_dt,fresh,signal,score,target
2026-06-01,FWRY.CA,Fawry for Banking Technology,20.49,2026-06-01,True,Ignore,0,22.95
2026-06-01,EMFD.CA,Egypt Foods Group,11.78,2026-06-01,True,Ignore,0,13.19
2026-06-01,PHDC.CA,Palm Hills Developments,15.96,2026-06-01,True,Ignore,0,17.88
2026-06-01,ORHD.CA,Orascom Development Egypt,38.91,2026-06-01,True,Ignore,0,43.58
2026-06-01,EFID.CA,EFG Finance,29.1,2026-06-01,True,Ignore,0,32.59
2026-06-01,HRHO.CA,Hermes Financial Group,27.72,2026-06-01,True,Ignore,27,31.05
2026-06-01,JUFO.CA,Juhayna Food Industries,29.0,2026-06-01,True,Ignore,0,32.48
2026-06-01,BTFH.CA,Beltone Financial Holding,3.16,2026-06-01,True,Ignore,0,3.54
2026-06-01,RAYA.CA,Raya Holding,7.5,2026-06-01,True,Ignore,0,8.4
2026-06-01,GBCO.CA,GB Auto,26.69,2026-06-01,True,Ignore,28,29.89
2026-06-01,HELI.CA,Heliopolis Housing,6.7,2026-06-01,True,Ignore,0,7.5
2026-06-01,ARCC.CA,Arabian Cement Company,58.47,2026-06-01,True,Ignore,0,65.49
2026-06-01,MCQE.CA,Macro Group Pharmaceuticals,197.09,2026-06-01,True,Ignore,0,220.74
2026-06-01,ORWE.CA,Oriental Weavers,23.25,2026-06-01,True,Ignore,0,26.04
2026-06-01,ISPH.CA,Integrated Diagnostics Holdings,11.69,2026-06-01,True,Ignore,0,13.09
2026-06-01,RMDA.CA,Rameda Pharmaceutical,5.15,2026-06-01,True,Ignore,0,5.77
2026-06-01,OIH.CA,Olympic Industries Holding,1.47,2026-06-01,True,Ignore,0,1.65
2026-06-01,CCAP.CA,Cairo Capital Holding,5.44,2026-06-01,True,Ignore,0,6.09
2026-06-18,COMI.CA,Commercial International Bank,N/A,N/A,False,N/A,0,N/A
2026-06-18,TMGH.CA,Talaat Moustafa Group,N/A,N/A,False,N/A,0,N/A
2026-06-18,ETEL.CA,Telecom Egypt,N/A,N/A,False,N/A,0,N/A
2026-06-18,EGAL.CA,Egypt Aluminum,N/A,N/A,False,N/A,0,N/A
2026-06-18,EAST.CA,Eastern Company,N/A,N/A,False,N/A,0,N/A
2026-06-18,ABUK.CA,Abu Qir Fertilizers,N/A,N/A,False,N/A,0,N/A
2026-06-18,ORAS.CA,Orascom Construction PLC,N/A,N/A,False,N/A,0,N/A
2026-06-18,EFIH.CA,e-Finance for Digital and Financial Investments,N/A,N/A,False,N/A,0,N/A
2026-06-18,ADIB.CA,Abu Dhabi Islamic Bank Egypt,N/A,N/A,False,N/A,0,N/A
2026-06-18,FWRY.CA,Fawry for Banking Technology,N/A,N/A,False,N/A,0,N/A
2026-06-18,EMFD.CA,Emaar Misr for Development,N/A,N/A,False,N/A,0,N/A
2026-06-18,PHDC.CA,Palm Hills Developments,N/A,N/A,False,N/A,0,N/A
2026-06-18,ORHD.CA,Orascom Development Egypt,N/A,N/A,False,N/A,0,N/A
2026-06-18,EFID.CA,Edita Food Industries,N/A,N/A,False,N/A,0,N/A
2026-06-18,HRHO.CA,EFG Holding,N/A,N/A,False,N/A,0,N/A
2026-06-18,JUFO.CA,Juhayna Food Industries,N/A,N/A,False,N/A,0,N/A
2026-06-18,BTFH.CA,Beltone Financial Holding,N/A,N/A,False,N/A,0,N/A
2026-06-18,RAYA.CA,Raya Holding,N/A,N/A,False,N/A,0,N/A
2026-06-18,GBCO.CA,GB Auto,N/A,N/A,False,N/A,0,N/A
2026-06-18,HELI.CA,Heliopolis Housing,N/A,N/A,False,N/A,0,N/A
2026-06-18,ARCC.CA,Arabian Cement Company,N/A,N/A,False,N/A,0,N/A
2026-06-18,MCQE.CA,Misr Cement (Qena),N/A,N/A,False,N/A,0,N/A
2026-06-18,ORWE.CA,Oriental Weavers,N/A,N/A,False,N/A,0,N/A
2026-06-18,ISPH.CA,Ibnsina Pharma,N/A,N/A,False,N/A,0,N/A
2026-06-18,RMDA.CA,Rameda Pharmaceutical,N/A,N/A,False,N/A,0,N/A
2026-06-18,OIH.CA,Orascom Investment Holding,N/A,N/A,False,N/A,0,N/A
2026-06-18,CCAP.CA,Qalaa Holdings,N/A,N/A,False,N/A,0,N/A
